idx,age,gender,race,date,purpose
1,62,0,3,20170117154850387.jpg.chip,0
2,25,0,1,20170113133108944.jpg.chip,2
3,35,0,1,20170113174107043.jpg.chip,1
4,32,0,3,20170113182522174.jpg.chip,0
5,49,1,1,20170112235151889.jpg.chip,0
6,18,1,3,20170109214031495.jpg.chip,0
7,26,0,2,20170117172558276.jpg.chip,1
8,76,0,0,20170111210806003.jpg.chip,0
9,22,1,2,20170114033415747.jpg.chip,0
10,8,0,0,20170104012108817.jpg.chip,0
11,26,1,1,20170116232809522.jpg.chip,0
12,29,0,1,20170117104606138.jpg.chip,0
13,63,0,3,20170119211952608.jpg.chip,0
14,31,0,0,20170117153916924.jpg.chip,0
15,25,0,1,20170113133616655.jpg.chip,2
16,47,0,3,20170109142337247.jpg.chip,0
17,56,0,0,20170111211431463.jpg.chip,0
18,8,1,0,20170109203701788.jpg.chip,0
19,26,0,3,20170104230301625.jpg.chip,0
20,26,0,1,20170113134232465.jpg.chip,2
21,28,0,1,20170113133943577.jpg.chip,0
22,25,1,2,20170116174823428.jpg.chip,0
23,34,1,1,20170116012236821.jpg.chip,0
24,70,0,1,20170120223446317.jpg.chip,2
25,3,0,1,20170110213803097.jpg.chip,0
26,85,0,1,20170111210314652.jpg.chip,0
27,25,1,1,20170117171908418.jpg.chip,2
28,38,0,4,20170117021834297.jpg.chip,0
29,34,0,3,20170119183347270.jpg.chip,2
30,1,1,3,20161220145232550.jpg.chip,0
31,35,1,0,20170117135354644.jpg.chip,0
32,26,1,2,20170116161826427.jpg.chip,0
33,26,1,2,20170116184624186.jpg.chip,2
34,26,0,3,20170120134330671.jpg.chip,0
35,14,0,2,20170103201038791.jpg.chip,1
36,1,0,0,20161219204741557.jpg.chip,2
37,16,0,0,20170102234641453.jpg.chip,0
38,40,1,1,20170113011754567.jpg.chip,0
39,1,0,4,20170103210101969.jpg.chip,0
40,10,0,0,20170110224223937.jpg.chip,1
41,26,1,3,20170104232408872.jpg.chip,0
42,49,1,1,20170113173337426.jpg.chip,0
43,26,1,1,20170116163959449.jpg.chip,0
44,31,0,0,20170117131123126.jpg.chip,0
45,31,1,4,20170117203052559.jpg.chip,0
46,66,1,0,20170110141136857.jpg.chip,2
47,26,0,3,20170117154452224.jpg.chip,0
48,32,1,0,20170120220532409.jpg.chip,2
49,36,1,3,20170117135521500.jpg.chip,2
50,24,1,1,20170113011405711.jpg.chip,0
51,54,0,0,20170109010246118.jpg.chip,2
52,49,0,3,20170119204414414.jpg.chip,0
